asv	phylum	class	order	family	genus	species
ASV6572	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7194	p__Ascomycota	c__Sordariomycetes	o__unclassified_c__Sordariomycetes	f__unclassified_c__Sordariomycetes	g__unclassified_c__Sordariomycetes	s__unclassified_c__Sordariomycetes
ASV3874	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV5253	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Lasiosphaeriaceae	g__Arnium	s__Arnium_sp
ASV2882	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Phialea	s__Phialea_sp
ASV6053	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Bjerkandera	s__Bjerkandera_adusta
ASV5277	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Ascobolaceae	g__Saccobolus	s__Saccobolus_sp
ASV7573	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7587	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV4170	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Physalacriaceae	g__Armillaria	s__unclassified_g__Armillaria
ASV4355	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Cucurbitariaceae_gen_Incertae_sedis	s__Cucurbitariaceae_sp
ASV6752	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV2285	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV5262	p__Basidiomycota	c__Agaricomycetes	o__Tremellodendropsidales	f__Tremellodendropsidales_fam_Incertae_sedis	g__Tremellodendropsidales_gen_Incertae_sedis	s__Tremellodendropsidales_sp
ASV5748	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Stictidaceae	g__Cryptodiscus	s__Cryptodiscus_sp
ASV5738	p__Chytridiomycota	c__unclassified_p__Chytridiomycota	o__unclassified_p__Chytridiomycota	f__unclassified_p__Chytridiomycota	g__unclassified_p__Chytridiomycota	s__unclassified_p__Chytridiomycota
ASV6755	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Mollisiaceae	g__Phialocephala	s__Phialocephala_bamuru
ASV2734	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unclassified_g__Cortinarius
ASV3594	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV8177	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Sporobolomyces	s__Sporobolomyces_sp
ASV6751	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Udeniomyces	s__unclassified_g__Udeniomyces
ASV2871	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__Rhizophydiaceae	g__Rhizophydium	s__Rhizophydium_sp
ASV2286	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV849	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__unclassified_g__Cladophialophora
ASV7999	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV2872	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV8000	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	f__Botryosphaeriales_fam_Incertae_sedis	g__Botryosphaeriales_gen_Incertae_sedis	s__Botryosphaeriales_sp
ASV3614	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Niessliaceae	g__Niesslia	s__unclassified_g__Niesslia
ASV5266	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Helminthosphaeriaceae	g__Endophragmiella	s__Endophragmiella_dimorphospora
ASV5757	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV3915	p__Basidiomycota	c__Ustilaginomycetes	o__Ustilaginales	f__Ustilaginaceae	g__unclassified_f__Ustilaginaceae	s__unclassified_f__Ustilaginaceae
ASV4374	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV3627	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__Aspergillus_inflatus
ASV6901	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Tomentella	s__Tomentella_pallidocastanea
ASV1529	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6774	p__Ascomycota	c__Lecanoromycetes	o__Baeomycetales	f__Trapeliaceae	g__Placynthiella	s__unclassified_g__Placynthiella
ASV1533	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Protocreopsis	s__Protocreopsis_euphorbiae
ASV4790	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV1507	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7599	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV5764	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV4024	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV1189	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV5550	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	g__Alfaria	s__unclassified_g__Alfaria
ASV7624	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV4032	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__unclassified_o__Chaetothyriales	g__unclassified_o__Chaetothyriales	s__unclassified_o__Chaetothyriales
ASV5524	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV8017	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Irpicaceae	g__Efibula	s__Efibula_tuberculata
ASV3910	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6758	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6305	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV7595	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pulvinulaceae	g__Pulvinulaceae_gen_Incertae_sedis	s__Pulvinulaceae_sp
ASV8215	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Genolevuria	s__Genolevuria_sp
ASV3912	p__Aphelidiomycota	c__Aphelidiomycetes	o__GS16	f__GS16_fam_Incertae_sedis	g__GS16_gen_Incertae_sedis	s__GS16_sp
ASV6898	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Lecanoraceae	g__Lecanora	s__Lecanora_sp
ASV6615	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7220	p__Chytridiomycota	c__Chytridiomycetes	o__Chytridiales	f__Chytridiales_fam_Incertae_sedis	g__Chytridiales_gen_Incertae_sedis	s__Chytridiales_sp
ASV615	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Glomus	s__Glomus_versiforme
ASV1199	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV5007	p__Ascomycota	c__Laboulbeniomycetes	o__Pyxidiophorales	f__Pyxidiophorales_fam_Incertae_sedis	g__Pyxidiophorales_gen_Incertae_sedis	s__Pyxidiophorales_sp
ASV5525	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6114	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyalopeziza	s__Hyalopeziza_raripila
ASV5513	p__Ascomycota	c__Pezizomycotina_cls_Incertae_sedis	o__Pezizomycotina_ord_Incertae_sedis	f__Pezizomycotina_fam_Incertae_sedis	g__Polylobatispora	s__Polylobatispora_sp
ASV1186	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinales_fam_Incertae_sedis	g__Sebacinales_gen_Incertae_sedis	s__Sebacinales_sp
ASV7860	p__Chytridiomycota	c__Synchytriomycetes	o__Synchytriales	f__Synchytriaceae	g__Synchytriaceae_gen_Incertae_sedis	s__Synchytriaceae_sp
ASV4186	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Trimmatostroma	s__Trimmatostroma_sp
ASV6097	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7219	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV7240	p__Ascomycota	c__Arthoniomycetes	o__Lichenostigmatales	f__Phaeococcomycetaceae	g__Phaeococcomyces	s__Phaeococcomyces_eucalypti
ASV613	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6086	p__Chytridiomycota	c__unclassified_p__Chytridiomycota	o__unclassified_p__Chytridiomycota	f__unclassified_p__Chytridiomycota	g__unclassified_p__Chytridiomycota	s__unclassified_p__Chytridiomycota
ASV5761	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV4783	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV2452	p__Glomeromycota	c__unclassified_p__Glomeromycota	o__unclassified_p__Glomeromycota	f__unclassified_p__Glomeromycota	g__unclassified_p__Glomeromycota	s__unclassified_p__Glomeromycota
ASV8008	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6905	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV867	p__Ascomycota	c__Dothideomycetes	o__unclassified_c__Dothideomycetes	f__unclassified_c__Dothideomycetes	g__unclassified_c__Dothideomycetes	s__unclassified_c__Dothideomycetes
ASV5765	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV859	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Lecythophora	s__Lecythophora_sp
ASV5548	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__unclassified_f__Leptosphaeriaceae	s__unclassified_f__Leptosphaeriaceae
ASV2335	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV3628	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Lecanoraceae	g__Lecanora	s__Lecanora_sp
ASV1972	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6094	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV4672	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV3906	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV2753	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6108	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV4369	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV4192	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Herpotrichiellaceae_gen_Incertae_sedis	s__Herpotrichiellaceae_sp
ASV3378	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV8021	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV7612	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Harposporium	s__Harposporium_bysmatosporum
ASV6904	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Tomentella	s__Tomentella_lapida
ASV5001	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6111	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__Juncaceicola	s__Juncaceicola_sp
ASV1534	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV8206	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Parmeliaceae	g__Nephromopsis	s__Nephromopsis_stracheyi
ASV8379	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Mycenaceae	g__Mycenaceae_gen_Incertae_sedis	s__Mycenaceae_sp
ASV6304	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Lecanorales_fam_Incertae_sedis	g__Lecanorales_gen_Incertae_sedis	s__Lecanorales_sp
ASV3924	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV7856	p__Basidiomycota	c__Ustilaginomycetes	o__Ustilaginales	f__Ustilaginaceae	g__unclassified_f__Ustilaginaceae	s__unclassified_f__Ustilaginaceae
ASV2311	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV1524	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV7630	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Beauveria	s__unclassified_g__Beauveria
ASV3373	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__Spizellomycetales_fam_Incertae_sedis	g__Spizellomycetales_gen_Incertae_sedis	s__Spizellomycetales_sp
ASV6622	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Plenodomus	s__Plenodomus_artemisiae
ASV1990	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6118	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Neodevriesiaceae	g__Neodevriesia	s__unclassified_g__Neodevriesia
ASV1506	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6082	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV8013	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__Glomeraceae_gen_Incertae_sedis	s__Glomeraceae_sp
ASV4365	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV7248	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7866	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Magnaporthaceae	g__Gaeumannomyces	s__unclassified_g__Gaeumannomyces
ASV7228	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6310	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__unclassified_g__Cladophialophora
ASV2902	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7239	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV2000	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_jenkinii
ASV7229	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV5017	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unclassified_f__Herpotrichiellaceae	s__unclassified_f__Herpotrichiellaceae
ASV620	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__unclassified_f__Glomeraceae	s__unclassified_f__Glomeraceae
ASV3375	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV3913	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Hyalorbilia	s__Hyalorbilia_sp
ASV3216	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV5759	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV5015	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Meyerozyma	s__unclassified_g__Meyerozyma
ASV3619	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV2455	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unclassified_f__Herpotrichiellaceae	s__unclassified_f__Herpotrichiellaceae
ASV6092	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV6297	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV1191	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV4187	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Phlegmacium	s__unclassified_g__Phlegmacium
ASV1210	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unclassified_f__Herpotrichiellaceae	s__unclassified_f__Herpotrichiellaceae
ASV8023	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	g__unclassified_f__Phaeosphaeriaceae	s__unclassified_f__Phaeosphaeriaceae
ASV587	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV3629	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV5006	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__Spizellomycetales_fam_Incertae_sedis	g__Spizellomycetales_gen_Incertae_sedis	s__Spizellomycetales_sp
ASV5300	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV8012	p__Ascomycota	c__Dothideomycetes	o__Acrospermales	f__Acrospermales_fam_Incertae_sedis	g__Leptodiscella	s__Leptodiscella_africana
ASV1514	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6766	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__Coniochaeta_deborreae
ASV1979	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV3636	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Phaeotremellaceae	g__Phaeotremella	s__unclassified_g__Phaeotremella
ASV3220	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV4194	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Capronia	s__Capronia_sp
ASV1195	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Gymnoascaceae	g__Leucothecium	s__Leucothecium_emdenii
ASV6089	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV4034	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6303	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV1184	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__Rhizophydiales_fam_Incertae_sedis	g__Operculomyces	s__Operculomyces_laminatus
ASV6600	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV5013	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierellaceae_gen_Incertae_sedis	s__Mortierellaceae_sp
